Sex,Age,Height(Inches),Weight(Pounds),BMI
1,34,69.92442,140.3969,20.18824641
0,22,64.28508,102.8351,17.49523664
1,19,68.2452,128.5214,19.4012651
1,32,66.35708,120.2991,19.20819996
1,19,68.36275,138.6036,20.85135514
0,34,65.4769,132.9574,21.80394704
0,21,69.71947,115.6233,16.72384101
0,19,67.72554,122.524,18.78084106
0,34,68.63941,134.6254,20.08994496
1,23,66.78405,121.8986,19.21551535
0,31,70.05147,155.3767,22.26128403
0,21,66.27848,128.9418,20.63704316
1,22,69.20198,129.1013,18.95362999
1,32,69.13481,139.4733,20.51617303
1,24,67.36436,140.8901,21.82825029
1,27,70.09297,131.5916,18.83120306
0,30,70.1766,121.1232,17.29185215
0,27,68.22556,131.5127,19.86425583
1,22,68.12932,136.5479,20.68310519
1,20,70.24256,141.4896,20.16149258
1,34,71.48752,140.6104,19.34442412
1,33,69.20477,112.1413,16.46236971
1,26,70.06306,133.457,19.11445763
0,32,70.55703,131.8001,18.61375446
0,18,66.28644,120.0285,19.20586235
1,34,63.42577,123.0972,21.51371948
1,23,66.76711,128.1432,20.21013582
0,21,68.88741,115.4759,17.10844218
1,19,64.87434,102.0927,17.05483838
0,21,67.09272,130.353,20.35959134
1,30,68.34761,134.1842,20.19545024
1,21,65.61073,98.64133,16.11046232
1,18,67.75551,114.5599,17.54454915
0,31,68.0212,123.4917,18.76497605
1,21,67.66193,123.048,18.89664133
1,28,66.3146,126.4772,20.22054038
1,27,69.43706,128.417,18.72572733
0,30,63.83624,127.1941,21.94477805
1,29,67.72277,122.0562,18.71066581
0,34,70.05098,127.6064,18.28280595
1,32,70.18602,131.6423,18.78854086
1,24,65.94588,111.8955,18.08989763
0,31,70.007,122.039,17.50711278
1,19,68.61129,128.5547,19.19975175
0,23,68.80817,132.6792,19.70251436
1,33,69.76212,136.0632,19.65622726
0,34,65.45539,115.9403,19.02577752
1,28,68.82534,136.9041,20.31975875
1,34,65.8003,119.8804,19.46665176
1,23,67.21474,109.0055,16.96360648
0,18,69.42021,128.2705,18.71344587
1,31,68.94396,135.2913,20.01134338
0,30,67.9415,106.8558,16.27521229
1,31,65.62506,123.2939,20.12801684
1,23,66.49607,109.5143,17.41316431
0,29,67.92809,119.3087,18.17908963
0,21,68.89415,140.2402,20.77335552
1,33,70.241,133.9841,19.09284801
1,28,68.26623,132.5807,20.00171764
1,35,71.23161,130.6988,18.11026907
1,18,69.09747,115.5637,17.01750826
1,24,64.39693,123.7941,20.98787376
1,35,71.09585,128.1427,17.82395974
0,22,68.21868,135.9646,20.5408329
1,29,65.91721,116.6273,18.87128228
1,34,67.4369,126.8241,19.60674122
1,24,73.90107,151.3913,19.48939192
0,35,69.98149,130.4022,18.72049691
0,32,69.51862,136.2068,19.81505713
0,25,65.18437,113.3989,18.76379678
1,27,68.00869,125.3287,19.05112119
1,29,68.3384,127.5846,19.20735075
0,22,65.18417,107.1564,17.73097668
1,20,68.26209,116.4588,17.57162687
1,28,68.56865,133.8402,20.01401416
1,30,64.49675,112.8901,19.08002852
0,19,68.71053,130.7568,19.47226675
0,25,68.89148,137.7571,20.40712317
1,31,69.54011,125.4036,18.23215823
1,31,67.39964,138.4659,21.43021376
1,25,66.47521,120.8184,19.22261501
0,24,66.01217,140.1539,22.61288594
0,29,72.44434,136.7397,18.31827296
1,25,64.12642,106.1139,18.14249909
0,28,70.98112,158.9562,22.18148411
0,19,67.50124,108.7868,16.7861664
0,19,72.01515,138.7758,18.81329321
1,19,65.31143,115.9136,19.10534271
1,32,67.07509,146.2922,22.86111807
0,21,64.39148,109.8765,18.63145734
0,32,69.37003,139.0499,20.31541695
1,20,68.37921,119.9001,18.02894074
1,28,65.31018,128.3069,21.14886547
0,20,67.1369,127.2428,19.84766737
1,30,68.39468,115.2306,17.31896774
0,26,66.2918,124.7975,19.96572506
0,18,67.1866,126.9511,19.77288152
1,33,65.99156,111.2711,17.96405662
0,29,69.43393,122.6089,17.88040392
0,27,67.97463,124.2084,18.89975118
0,29,67.76133,124.6453,19.08582282
0,24,65.27864,119.5169,19.71904818
0,18,73.83364,139.2983,17.96536647
1,26,66.81312,104.8265,16.50997456
1,32,66.89411,123.0424,19.33204767
0,22,65.73568,118.8923,19.34417591
0,21,65.98283,121.4939,19.61965743
1,21,66.58396,119.2488,18.91096103
0,24,67.11294,135.0239,21.07642479
1,23,65.87481,116.228,18.8308896
0,22,66.78067,109.1731,17.21127019
0,22,68.73577,124.2237,18.48577574
0,29,66.22666,141.1645,22.62864828
0,19,65.95968,129.1501,20.87067477
0,19,68.58372,127.8693,19.11274371
1,34,66.59347,120.9244,19.17120779
0,27,66.96574,127.6466,20.01256385
1,19,68.08015,101.4693,15.39190876
0,32,70.19025,144.9927,20.69147175
1,18,65.52149,110.9523,18.17053034
0,31,67.45905,132.8625,20.52677879
1,32,67.40985,146.3385,22.64178705
1,27,69.66158,145.5894,21.09317419
1,30,65.79799,120.8431,19.62435663
1,30,66.10558,115.7813,18.62777593
0,26,68.23987,128.3019,19.37115562
1,24,68.02403,127.4718,19.36815388
1,31,71.39044,127.8761,17.64038621
0,18,65.7316,121.4997,19.77086278
0,28,66.43358,112.7148,17.95578744
1,24,70.01309,135.002,19.36335177
0,32,69.48146,128.6789,18.73994415
1,34,68.62764,124.4062,18.57131771
1,34,68.36275,140.026,21.06533924
0,25,68.39028,117.519,17.66518327
1,25,68.77413,143.8737,21.38602282
1,31,69.9236,141.1703,20.29993288
1,33,71.55542,155.9414,21.41288489
1,30,68.44764,134.0093,20.11021923
1,23,66.71398,130.0975,20.55105275
1,28,66.68413,106.2265,16.79525945
1,24,67.93699,112.0489,17.06843956
1,21,68.89855,136.1884,20.17059815
1,35,67.29191,131.236,20.37633621
0,30,69.57212,131.3231,19.07521647
1,30,67.67479,119.5261,18.34880306
0,23,69.04155,116.9965,17.25641704
1,19,67.96765,138.5255,21.08259381
1,28,65.83982,109.6518,17.78432226
0,32,65.77288,130.1569,21.15301623
1,27,71.14106,137.1114,19.04722558
0,33,67.83055,113.759,17.38336753
1,23,65.0693,114.9725,19.09152099
0,19,69.70745,127.7149,18.47915038
1,28,69.92983,121.9972,17.53976386
0,18,66.11569,117.9607,18.9726107
0,22,68.61364,127.7141,19.07290089
1,18,68.9976,117.9619,17.42098127
1,32,66.79171,125.1554,19.72437685
1,25,68.02363,141.1026,21.43947925
0,28,69.67258,145.4822,21.07098791
1,30,71.82178,116.065,15.81931853
1,35,72.74676,135.7458,18.03424288
0,32,67.27951,132.9248,20.64615577
1,26,67.41015,115.6622,17.89532893
1,33,68.5315,114.3184,17.11332846
1,23,68.47126,148.952,22.33718922
1,21,68.51867,142.1878,21.29331651
0,31,63.72529,134.104,23.21757808
0,21,67.70483,141.8926,21.76302528
1,19,69.47115,138.7444,20.21181483
0,35,66.70198,134.449,21.24608666
0,32,65.23126,117.0167,19.33459749
0,35,69.89473,115.6752,16.64754585
1,34,69.83048,134.7905,19.43426201
1,31,65.3979,120.5746,19.82106784
0,20,68.32214,120.0835,18.08669602
0,29,65.93895,84.3598,13.64112884
0,20,70.09805,138.9394,19.8798164
1,35,66.05531,143.5245,23.12647259
1,33,68.23481,123.1347,18.59376369
0,33,65.21758,115.5261,19.09631531
0,25,69.16173,120.9844,17.7826509
1,25,67.60064,120.6473,18.56157463
1,31,67.28621,124.0352,19.26156815
0,24,66.84323,117.2238,18.44589635
1,33,68.08281,127.9598,19.40874401
1,29,66.56991,116.7527,18.52293561
0,18,70.16973,121.9957,17.41982293
1,27,67.85113,123.9952,18.93605593
0,29,66.62309,108.855,17.24239789
0,18,63.68816,104.6574,18.14058805
0,28,68.0356,132.248,20.08701937
1,33,66.941,127.1834,19.95468438
0,19,66.26292,125.1209,20.03491681
1,27,70.7301,133.322,18.7366567
0,19,70.70844,122.3364,17.20330974
1,35,73.26872,130.2636,17.0602225
1,30,63.79021,116.7431,20.17074697
1,27,67.84109,125.8534,19.22552209
1,34,67.78058,100.627,15.3993641
1,28,67.23901,118.4945,18.42698981
1,21,66.75701,137.1255,21.63332599
1,35,69.03098,118.6991,17.5129042
0,34,68.52652,124.1641,18.5899197
1,21,64.65419,124.9442,21.01462159
0,29,65.14295,126.3889,20.93981857
0,28,66.74124,121.5255,19.18128499
0,35,66.99923,133.2951,20.87725451
1,26,70.26611,127.4072,18.14266046
0,33,67.57666,125.08,19.25720487
0,24,66.30582,102.8114,16.44132432
1,32,68.90702,134.2212,19.87435322
1,27,65.60543,100.9758,16.4944012
1,19,68.00189,145.8886,22.18085147
1,28,69.93715,155.3046,22.32375679
0,20,70.1459,138.7175,19.8209969
1,24,66.66364,116.2611,18.39311154
1,32,69.40676,120.6087,17.60248234
0,31,66.80598,114.4083,18.0229417
0,34,67.70048,133.3406,20.45397558
1,22,69.13438,92.74955,13.64339617
0,23,67.53769,131.7825,20.31253662
0,28,65.77912,118.3865,19.23644817
0,31,66.25769,131.1466,21.00309412
1,27,67.39038,130.2033,20.15695865
1,33,64.94327,129.1836,21.5346542
1,33,69.25699,143.1445,20.98197013
0,22,69.07739,138.7307,20.44087872
0,20,69.64403,130.9528,18.98216853
1,30,69.07705,124.3032,18.31528024
1,21,68.01304,135.3702,20.57488991
1,28,68.85664,124.1988,18.41724097
0,27,63.19158,111.2389,19.58560903
1,32,65.57591,129.4037,21.15713542
1,33,69.12101,127.7444,18.79838516
1,34,69.78765,121.3311,17.51514795
1,18,67.48203,118.2183,18.25186536
0,26,69.08809,123.3441,18.16815521
0,22,68.5529,151.9118,22.72681991
1,32,68.21327,115.3108,17.42332632
0,26,67.1012,122.3844,19.11015955
0,29,71.23661,129.2323,17.90454996
0,32,69.11946,138.2824,20.35003025
0,18,65.49848,144.0565,23.60854594
1,20,66.58706,120.8482,19.16281601
1,25,67.99831,113.3034,17.22842307
0,24,72.57747,149.3227,19.93062914
1,21,67.97585,130.6373,19.87726949
0,25,66.62347,122.387,19.38561645
1,34,67.29574,133.8677,20.78258088
0,27,65.95951,134.8336,21.78924151
1,33,66.54011,137.8363,21.88746182
1,31,68.07723,112.6812,17.09411158
0,35,65.83291,121.1964,19.66085673
0,20,69.23721,114.9262,16.85538794
0,32,64.69413,110.3762,18.54148475
1,19,69.21372,126.0337,18.49699276
0,34,67.16792,118.7008,18.49816592
0,22,67.8467,119.3108,18.2230524
0,33,69.27389,150.7397,22.08448718
1,28,67.90547,121.1142,18.46649062
1,33,67.076,118.4065,18.50291082
1,21,70.01531,142.759,20.47464068
0,21,70.05454,145.6305,20.86308815
0,31,70.86714,127.3425,17.82716906
0,20,66.0586,115.9678,18.68432924
1,21,65.23745,104.4441,17.25395979
1,32,68.7413,138.4905,20.60550796
1,30,69.51946,145.5049,21.16721215
0,34,70.30764,124.4065,17.69444133
0,21,67.29982,124.1866,19.27728
0,24,67.60582,126.1659,19.40763627
0,27,67.85566,138.8125,21.19606495
0,33,66.46536,121.5515,19.34498617
0,18,68.92071,114.2555,16.91127896
0,22,68.46886,129.4022,19.40681607
1,20,69.5193,137.5583,20.01127881
0,29,70.23956,134.4996,19.16709308
0,24,67.85651,127.7103,19.50031875
0,32,68.00435,115.6709,17.58529065
1,34,67.13983,131.5906,20.5240572
0,23,68.09931,127.5839,19.34235163
1,22,68.99077,125.7211,18.5705605
0,32,69.32618,119.9885,17.55269907
0,32,70.09286,140.8676,20.15869331
1,35,68.74304,136.9164,20.37027198
1,34,64.18633,118.4759,20.21825879
1,22,66.09074,129.5516,20.85260783
1,35,69.24418,152.0714,22.29871386
1,30,69.66512,120.8646,17.50923469
1,23,68.42721,136.1027,20.43656491
1,32,68.28613,130.0611,19.6101649
1,19,69.37684,131.7743,19.24866049
0,25,68.35315,139.38,20.97404604
1,23,72.32489,168.229,22.61122667
1,24,70.37159,127.6446,18.1220174
1,23,65.72927,131.8008,21.44861492
1,35,66.49627,122.8561,19.53444058
0,30,70.81339,140.2133,19.65881173
1,21,67.37579,142.6929,22.10005972
0,22,67.79709,137.4299,21.02122146
0,22,68.1607,126.0392,19.07376282
1,27,68.85782,143.5985,21.29326157
1,24,67.71342,122.62,18.80228525
1,18,64.66007,108.6044,18.26307504
1,24,65.73721,100.6617,16.37723378
0,30,68.42441,116.1397,17.44043854
1,31,68.88946,140.5293,20.81901345
0,20,68.27367,125.6907,18.95812888
0,30,69.18045,134.3329,19.73396933
0,19,72.60996,136.4649,18.19815627
0,31,66.04157,127.8822,20.61456355
0,35,69.2288,123.1361,18.06386217
1,21,68.87697,116.3375,17.24131885
0,23,66.46042,124.5581,19.82643524
0,23,69.30444,125.7853,18.41223869
0,31,67.58249,107.5905,16.56167935
1,27,69.41816,143.0236,20.86701523
0,29,67.46867,118.7434,18.3401974
1,32,66.44873,118.9856,18.94610147
0,30,68.76185,131.8744,19.60939592
0,27,63.76881,119.3691,20.63830936
1,34,69.03663,126.1223,18.60507989
0,35,66.48966,126.6122,20.13567323
1,23,66.74224,113.5597,17.92344567
0,23,67.69394,115.8413,17.77307863
0,30,66.69066,130.2738,20.59329659
1,20,67.02877,125.4542,19.63186365
1,22,65.91096,117.1655,18.96196321
1,32,70.0304,137.3184,19.68585783
1,27,69.26978,149.4447,21.8973583
1,35,70.07695,151.0695,21.62844182
1,27,64.90942,116.9994,19.52391919
0,20,69.68744,138.1787,20.00464757
1,31,67.56524,127.621,19.65505754
0,27,63.85529,120.7514,20.82079151
0,33,71.6189,144.2537,19.77290557
1,21,64.98993,105.7939,17.61032264
0,26,64.60759,120.1567,20.23856582
0,28,62.01666,109.0848,19.94097172
1,22,65.28516,125.971,20.77975655
0,34,67.70163,110.2325,16.90870047
0,30,70.85794,134.4706,18.82994806
1,22,68.17075,115.5067,17.47470513
1,35,67.45006,125.1086,19.33398189
1,23,71.04224,116.4113,16.21663231
1,25,67.83032,133.3944,20.38396617
1,29,67.15488,108.7478,16.95368653
0,33,68.30289,134.3986,20.25421469
1,26,65.41208,131.2085,21.55980735
0,22,68.66755,130.8318,19.50783329
1,18,70.06733,127.0838,18.1994339
0,33,69.13413,119.4067,17.56477197
0,32,67.02078,105.5616,16.52288317
0,20,65.52274,134.4733,22.02169716
1,25,70.19808,132.6897,18.93152365
0,29,67.66866,126.058,19.35504045
0,27,69.73257,126.3532,18.26895585
1,35,67.61719,142.3603,21.89139721
1,21,70.79589,124.5873,17.47658229
1,23,69.65804,122.3604,17.72952952
0,26,66.73277,123.2298,19.45522523
1,32,67.58008,131.4049,20.22893322
1,32,65.25317,124.3037,20.52483387
0,30,70.71387,128.3836,18.05091253
0,32,71.27374,136.853,18.94061381
0,28,66.55913,118.0569,18.73591579
1,33,68.04247,121.4969,18.45031902
0,20,68.11699,119.2811,18.07421989
1,24,71.2367,126.5545,17.53350859
1,24,66.92387,129.2477,20.28894914
1,18,71.10381,134.7804,18.74303084
0,29,69.41466,146.0725,21.31399622
1,22,69.16807,162.4109,23.86726644
0,29,68.57725,130.1885,19.46306871
0,30,69.60315,132.1941,19.18461582
0,25,69.05087,127.4591,18.79452533
1,30,68.28699,125.3466,18.89885279
0,19,69.25276,134.7559,19.75479102
0,19,68.23862,121.9395,18.41122828
0,21,67.6868,125.6688,19.28494154
0,24,68.84083,145.956,21.65352376
1,26,69.52061,119.9207,17.4447934
1,32,66.97668,111.5093,17.47683079
1,25,72.0053,138.676,18.80490751
0,23,67.44482,135.0151,20.8681508
0,24,66.06214,116.509,18.76951378
0,23,65.5747,123.9575,20.26744521
1,35,68.30171,136.952,20.63973178
0,30,71.02603,153.0797,21.3344448
1,21,70.76882,126.357,17.73839092
1,27,67.50812,145.0614,22.37889615
1,18,69.50936,135.1739,19.67003299
0,33,66.4455,108.806,17.32688612
1,21,68.5689,110.5155,16.52599632
1,30,67.01296,138.2685,21.64733672
0,25,68.70004,119.5111,17.80299573
0,20,68.23013,115.3214,17.41631746
1,23,70.40713,132.3684,18.77369941
1,33,65.69989,93.99438,15.3098673
0,33,65.7031,127.4051,20.7498
1,31,68.48055,134.3024,20.13483699
1,33,66.62891,124.9721,19.7918538
0,26,66.84285,124.072,19.52372533
1,28,69.89734,133.5476,19.21824007
1,20,67.6543,134.1509,20.60637527
1,35,68.30917,130.2489,19.62523524
0,21,69.74848,138.0935,19.95733583
1,34,68.57906,126.6064,18.92654875
1,22,68.14477,131.8076,19.95603312
0,25,67.98093,131.7363,20.0414935
0,34,64.82535,117.6261,19.67944205
0,21,69.20785,126.1943,18.52370463
0,23,69.2656,127.5132,18.68610425
0,31,70.9403,142.4785,19.90499701
0,24,69.07826,139.444,20.54546035
1,27,66.20183,110.3204,17.69761171
1,27,71.05779,131.9541,18.37377189
0,25,68.99493,129.2037,19.0826822
0,19,70.96089,124.3513,17.36245152
0,26,66.02496,126.5251,20.40606283
1,34,69.8641,149.2303,21.49550726
1,24,66.82802,142.1577,22.37958477
0,22,69.09424,127.1436,18.72447456
1,20,66.81425,122.3353,19.26692557
1,27,67.13183,112.6659,17.57657865
0,18,64.57428,134.2647,22.63818083
1,23,68.68038,120.6936,17.98944175
0,32,67.53724,115.783,17.84666225
0,33,71.17732,128.6855,17.85850808
0,34,70.53514,134.7611,19.04374273
1,34,71.53411,118.3419,16.25964297
0,33,66.77301,106.1557,16.73941339
1,27,66.33636,126.3823,20.19211467
1,34,64.83095,114.3716,19.13164217
0,32,68.38247,130.2787,19.58766522
1,22,68.05038,123.3066,18.72078421
1,25,69.09149,122.8571,18.0946408
0,27,69.91046,125.6932,18.08115992
0,22,68.40737,111.7247,16.78580731
1,21,68.32559,125.5516,18.90837881
0,30,66.95555,119.9702,18.8147756
1,32,70.54816,132.6043,18.7320388
0,25,69.37805,132.6738,19.37937712
1,26,67.52012,117.4521,18.11311728
1,19,64.87142,101.8549,17.01664511
1,34,69.13396,128.4418,18.89393161
1,29,68.81192,134.0414,19.90262808
1,28,67.56446,127.7511,19.67554867
0,26,68.16772,127.6172,19.30858724
1,27,65.80687,139.3971,22.63133082
0,32,64.92276,113.9381,19.00526144
1,25,68.35584,147.5188,22.19703392
1,27,66.71546,132.6523,20.95369599
1,31,69.18196,132.8139,19.50997126
0,27,65.88795,105.0942,17.02023616
1,34,66.03733,127.5187,20.55860721
0,26,69.44194,130.7305,19.06040198
0,22,67.14847,128.5815,20.04957026
1,27,65.69442,122.5699,19.96759182
0,32,69.42723,157.2961,22.94336437
1,23,66.54503,121.1097,19.22854849
0,23,69.04469,147.5061,21.75445644
0,27,67.62036,117.493,18.06574433
1,21,69.59105,132.4472,19.22803158
0,33,68.12343,118.1774,17.90359486
1,30,71.22641,123.7319,17.14740459
1,23,66.43285,130.365,20.76797079
1,34,66.31808,122.8882,19.64468721
0,25,68.02724,107.8693,16.38818968
0,22,68.2876,118.591,17.87997289
1,32,66.91609,125.6467,19.72826066
1,35,71.77546,148.6016,20.28011159
0,22,66.04535,150.279,24.2221466
1,23,69.01455,127.0678,18.75655235
0,34,68.70744,128.7122,19.1695096
0,30,65.012,118.4233,19.69921542
1,25,66.05857,125.3879,20.20208139
0,26,71.16403,149.2676,20.72255523
1,18,67.55274,107.3484,16.53897007
1,30,68.83455,133.6992,19.83876702
1,30,68.11811,124.8508,18.91755365
1,23,67.90528,112.7028,17.18408614
1,20,67.64085,127.8407,19.64490129
0,28,69.78282,134.1615,19.37000343
1,29,67.99889,138.6031,21.07502608
1,21,69.41465,126.044,18.39156661
1,31,70.42989,129.5856,18.36714047
1,30,67.67519,134.1054,20.58667091
0,34,67.88036,106.1251,16.19305021
1,32,68.06905,127.0561,19.27946443
0,20,66.99435,121.9241,19.09906148
0,23,71.57689,150.7365,20.68576573
0,23,64.36564,116.0061,19.68663397
0,26,67.93011,125.4748,19.11748245
0,26,69.91863,131.6099,18.92786208
0,31,69.93864,129.0696,18.55190117
0,20,66.79766,129.1117,20.34426131
1,34,70.11119,148.1624,21.19152209
0,31,68.94814,105.388,15.58636625
1,22,68.02886,110.5447,16.79385359
0,21,69.36148,118.6402,17.3378001
1,29,68.44886,122.8151,18.42969513
1,34,65.70282,124.887,20.33986363
0,29,69.55674,135.7695,19.72979642
0,30,65.84635,116.4563,18.88419165
0,20,68.79983,125.3617,18.6203983
0,21,69.03835,133.122,19.63667042
0,29,67.36352,138.3328,21.43257964
0,30,70.35788,124.4972,17.68206236
0,33,69.88828,136.7205,19.67993942
0,26,65.15319,115.0153,19.04947766
1,21,69.40907,132.6366,19.35663022
0,23,68.50874,143.1323,21.44097417
1,28,65.71552,134.7422,21.93646079
0,32,63.98308,122.6246,21.05940725
1,35,70.07685,153.5634,21.98555328
1,23,68.42542,126.289,18.96397633
0,23,68.23665,134.7206,20.34217739
0,25,67.82856,134.5987,20.56906237
0,35,66.31277,118.3945,18.92936356
0,32,69.75128,121.2997,17.52888078
1,23,65.70901,132.2844,21.54059065
0,24,66.88227,139.0617,21.85668779
1,29,67.2791,110.698,17.19405263
0,19,70.63357,154.1073,21.71699449
1,22,69.9377,124.1592,17.84658142
1,29,65.87671,134.5173,21.79280648
1,30,72.44694,138.2622,18.52090456
0,35,70.07052,149.0801,21.34753913
0,35,67.68486,127.0075,19.49149368
1,24,66.1151,117.8222,18.9506728
0,27,69.94355,148.9096,21.40061127
1,33,68.24317,128.2151,19.35617833
1,29,68.80144,129.6944,19.26304735
1,23,66.61818,125.5674,19.89253809
0,24,70.18701,128.7947,18.38160089
0,35,65.58971,124.187,20.2956768
0,33,68.69566,151.4167,22.55869642
0,22,64.88639,106.9803,17.86468694
0,21,69.81993,145.6221,21.00232116
0,24,66.33962,121.5926,19.42495448
0,33,70.4434,130.9386,18.55179336
0,18,69.99163,135.6203,19.46396474
1,34,70.13617,123.9315,17.71317599
1,18,67.1793,131.9955,20.56302487
0,19,68.2034,117.484,17.7568325
1,22,67.76121,129.6577,19.85339723
0,33,64.79753,122.3706,20.49080453
0,29,66.47871,114.5867,18.22921088
0,33,66.98337,116.5401,18.26165876
0,20,65.69991,139.4307,22.71055158
1,19,66.82705,123.4822,19.4401048
0,32,66.35141,132.5492,21.16779506
1,25,70.13491,143.4013,20.49667544
1,20,70.11565,132.9429,19.01227306
0,34,64.56145,98.8972,16.68154488
0,21,68.15724,122.4342,18.53009221
1,21,67.1475,104.6767,16.32259297
0,35,70.88927,142.7847,19.97650411
1,22,68.16218,130.9283,19.81277963
0,33,71.19657,143.827,19.94899874
0,28,67.92444,142.2832,21.68204866
1,34,65.30204,107.9441,17.79689492
0,28,66.40756,105.6891,16.84976999
0,18,71.30647,125.4007,17.33967327
1,18,69.05997,106.4195,15.68798868
0,30,65.95442,118.5371,19.15866796
1,32,69.63776,136.7836,19.8309385
0,26,71.10495,145.9328,20.29327162
1,29,66.21851,129.637,20.78590736
1,21,66.13469,108.4955,17.44021783
1,32,67.7851,121.2537,18.55347833
1,25,66.67737,135.7399,21.46591603
0,24,69.99408,137.5026,19.73272734
1,25,71.1441,124.0052,17.22506786
0,27,68.63927,128.8613,19.22985547
0,22,69.08548,133.6811,19.69224705
1,22,67.97389,106.5185,16.20838026
1,21,65.94809,113.0398,18.27366926
0,18,66.02102,125.9639,20.31797693
1,27,71.23576,140.2945,19.43763154
0,23,67.52674,143.229,22.08402429
1,28,71.06935,145.8063,20.2959987
0,26,68.27178,128.1697,19.33311078
0,23,67.31932,134.1839,20.81707914
1,31,68.98848,140.2166,20.71310006
1,18,68.404,146.3453,21.98946213
1,32,67.092,132.0784,20.62952111
0,27,66.76866,122.13,19.26086824
0,27,65.64636,131.4693,21.44874442
1,27,65.34105,129.5167,21.3281102
0,24,68.18299,125.7451,19.01681624
1,23,70.65924,153.1384,21.56477867
1,18,65.94401,124.5559,20.13781851
0,35,69.62792,134.8225,19.55214262
0,24,68.29965,115.3877,17.39087303
0,26,70.06075,117.9618,16.89626259
1,35,68.43602,124.5647,18.69925573
1,31,69.27012,134.4043,19.69337302
0,30,67.70511,129.3092,19.83286029
0,24,70.89315,133.1423,18.625431
0,29,70.54313,147.3609,20.81956438
0,18,71.58086,155.0132,21.27030325
0,34,68.42301,126.2905,18.96553751
0,29,69.35781,134.4605,19.65182112
0,24,70.445,134.0296,18.98887337
1,27,67.38153,128.9248,19.96427549
0,21,67.50767,123.0543,18.98407236
0,30,68.52054,112.1788,16.79840548
0,18,66.80858,111.7443,17.60190696
1,34,72.38532,148.4615,19.92102455
0,24,68.51642,136.7459,20.47971044
0,20,70.79791,133.2068,18.68462323
1,26,66.21905,116.8855,18.74103496
1,29,68.31167,124.8542,18.81101263
0,31,67.1715,121.5809,18.94497709
0,24,67.7714,123.197,18.85845204
1,35,67.47328,137.1255,21.17646198
0,30,67.77463,121.4941,18.59600702
1,22,69.20099,150.9398,22.16041957
0,22,70.04297,142.3009,20.3928237
0,21,70.56979,134.7527,19.02386036
1,24,66.45379,133.5585,21.26330884
1,35,67.68132,136.0895,20.8874682
1,27,65.75638,95.20216,15.47995995
0,30,69.3549,119.7404,17.50190123
0,22,70.5902,152.9146,21.57540477
1,27,67.27626,140.1991,21.77811912
